Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,127967,0,0,0,0,0,0,0
0,127967,1,0,0,0,0,0,0
0,127966,0,0,0,0,0,0,0
0,127966,1,0,0,0,0,0,0
0,127968,0,0,0,0,0,0,0
0,127968,1,0,0,0,0,0,0
1,127967,0,0,0,0,0,0,0
1,127967,1,1006,0,31744,130023424,0,0
1,127966,0,0,0,0,0,0,0
1,127966,1,4588,0,94720,387973120,0,0
1,127968,0,0,0,0,0,0,0
1,127968,1,10591,0,228352,935329792,0,0
2,127967,0,0,0,0,0,0,0
2,127967,1,2126,0,62976,257949696,0,0
2,127966,0,0,0,0,0,0,0
2,127966,1,9954,0,204800,838860800,0,0
2,127968,0,0,0,0,0,0,0
2,127968,1,23053,0,498688,2042626048,0,0
3,127967,0,0,0,0,0,0,0
3,127967,1,3531,0,107008,438304768,0,0
3,127966,0,0,0,0,0,0,0
3,127966,1,17120,0,351744,1440743424,0,0
3,127968,0,0,0,0,0,0,0
3,127968,1,24193,0,524288,2147483648,0,0
4,127967,0,0,0,0,0,0,0
4,127967,1,4862,0,146944,601882624,0,0
4,127966,0,0,0,0,0,0,0
4,127966,1,22487,0,461824,1891631104,0,0
4,127968,0,0,0,0,0,0,0
4,127968,1,24193,0,524288,2147483648,0,0
5,127967,0,0,0,0,0,0,0
5,127967,1,5989,0,178688,731906048,0,0
5,127966,0,0,0,0,0,0,0
5,127966,1,27881,0,571904,2342518784,0,0
5,127968,0,0,0,0,0,0,0
5,127968,1,24193,0,524288,2147483648,0,0
6,127967,0,0,0,0,0,0,0
6,127967,1,7006,0,209920,859832320,0,0
6,127966,0,0,0,0,0,0,0
6,127966,1,33262,0,681984,2793406464,0,0
6,127968,0,0,0,0,0,0,0
6,127968,1,24193,0,524288,2147483648,0,0
7,127967,0,0,0,0,0,0,0
7,127967,1,8137,0,241664,989855744,0,0
7,127966,0,0,0,0,0,0,0
7,127966,1,38632,0,792064,3244294144,0,0
7,127968,0,0,0,0,0,0,0
7,127968,1,24193,0,524288,2147483648,0,0
8,127967,0,0,0,0,0,0,0
8,127967,1,9162,0,272896,1117782016,0,0
8,127966,0,0,0,0,0,0,0
8,127966,1,43985,0,902144,3695181824,0,0
8,127968,0,0,0,0,0,0,0
8,127968,1,24193,0,524288,2147483648,0,0
9,127967,0,0,0,0,0,0,0
9,127967,1,10212,0,304128,1245708288,0,0
9,127966,0,0,0,0,0,0,0
9,127966,1,49363,0,1012224,4146069504,0,0
9,127968,0,0,0,0,0,0,0
9,127968,1,24193,0,524288,2147483648,0,0
10,127967,0,0,0,0,0,0,0
10,127967,1,11554,0,346112,1417674752,0,0
10,127966,0,0,0,0,0,0,0
10,127966,1,51156,0,1048576,4294967296,0,0
10,127968,0,0,0,0,0,0,0
10,127968,1,24193,0,524288,2147483648,0,0
11,127967,0,0,0,0,0,0,0
11,127967,1,12594,0,377856,1547698176,0,0
11,127966,0,0,0,0,0,0,0
11,127966,1,51156,0,1048576,4294967296,0,0
11,127968,0,0,0,0,0,0,0
11,127968,1,24193,0,524288,2147483648,0,0
12,127967,0,0,0,0,0,0,0
12,127967,1,13590,0,409088,1675624448,0,0
12,127966,0,0,0,0,0,0,0
12,127966,1,51156,0,1048576,4294967296,0,0
12,127968,0,0,0,0,0,0,0
12,127968,1,24193,0,524288,2147483648,0,0
13,127967,0,0,0,0,0,0,0
13,127967,1,14655,0,440832,1805647872,0,0
13,127966,0,0,0,0,0,0,0
13,127966,1,51156,0,1048576,4294967296,0,0
13,127968,0,0,0,0,0,0,0
13,127968,1,24193,0,524288,2147483648,0,0
14,127967,0,0,0,0,0,0,0
14,127967,1,15671,0,472064,1933574144,0,0
14,127966,0,0,0,0,0,0,0
14,127966,1,51156,0,1048576,4294967296,0,0
14,127968,0,0,0,0,0,0,0
14,127968,1,24193,0,524288,2147483648,0,0
15,127967,0,0,0,0,0,0,0
15,127967,1,16808,0,503808,2063597568,0,0
15,127966,0,0,0,0,0,0,0
15,127966,1,51156,0,1048576,4294967296,0,0
15,127968,0,0,0,0,0,0,0
15,127968,1,24193,0,524288,2147483648,0,0
16,127967,0,0,0,0,0,0,0
16,127967,1,17799,0,535040,2191523840,0,0
16,127966,0,0,0,0,0,0,0
16,127966,1,51156,0,1048576,4294967296,0,0
16,127968,0,0,0,0,0,0,0
16,127968,1,24193,0,524288,2147483648,0,0
17,127967,0,0,0,0,0,0,0
17,127967,1,19217,0,577024,2363490304,0,0
17,127966,0,0,0,0,0,0,0
17,127966,1,51156,0,1048576,4294967296,0,0
17,127968,0,0,0,0,0,0,0
17,127968,1,24193,0,524288,2147483648,0,0
18,127967,0,0,0,0,0,0,0
18,127967,1,20195,0,608256,2491416576,0,0
18,127966,0,0,0,0,0,0,0
18,127966,1,51156,0,1048576,4294967296,0,0
18,127968,0,0,0,0,0,0,0
18,127968,1,24193,0,524288,2147483648,0,0
19,127967,0,0,0,0,0,0,0
19,127967,1,21229,0,640000,2621440000,0,0
19,127966,0,0,0,0,0,0,0
19,127966,1,51156,0,1048576,4294967296,0,0
19,127968,0,0,0,0,0,0,0
19,127968,1,24193,0,524288,2147483648,0,0
20,127967,0,0,0,0,0,0,0
20,127967,1,22185,0,671232,2749366272,0,0
20,127966,0,0,0,0,0,0,0
20,127966,1,51156,0,1048576,4294967296,0,0
20,127968,0,0,0,0,0,0,0
20,127968,1,24193,0,524288,2147483648,0,0
21,127967,0,0,0,0,0,0,0
21,127967,1,23238,0,702976,2879389696,0,0
21,127966,0,0,0,0,0,0,0
21,127966,1,51156,0,1048576,4294967296,0,0
21,127968,0,0,0,0,0,0,0
21,127968,1,24193,0,524288,2147483648,0,0
22,127967,0,0,0,0,0,0,0
22,127967,1,24255,0,734208,3007315968,0,0
22,127966,0,0,0,0,0,0,0
22,127966,1,51156,0,1048576,4294967296,0,0
22,127968,0,0,0,0,0,0,0
22,127968,1,24193,0,524288,2147483648,0,0
23,127967,0,0,0,0,0,0,0
23,127967,1,25743,0,776192,3179282432,0,0
23,127966,0,0,0,0,0,0,0
23,127966,1,51156,0,1048576,4294967296,0,0
23,127968,0,0,0,0,0,0,0
23,127968,1,24193,0,524288,2147483648,0,0
