Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,22846,0,0,0,0,0,0,0
0,22846,1,40940,0,128000,524288000,0,0
1,22846,0,0,0,0,0,0,0
1,22846,1,40940,0,128000,524288000,0,0
2,22846,0,0,0,0,0,0,0
2,22846,1,40940,0,128000,524288000,0,0
3,22846,0,0,0,0,0,0,0
3,22846,1,80121,0,256000,1048576000,0,0
4,22846,0,0,0,0,0,0,0
4,22846,1,80121,0,256000,1048576000,0,0
5,22846,0,0,0,0,0,0,0
5,22846,1,80121,0,256000,1048576000,0,0
6,22846,0,0,0,0,0,0,0
6,22846,1,118356,0,384000,1572864000,0,0
7,22846,0,0,0,0,0,0,0
7,22846,1,118356,0,384000,1572864000,0,0
8,22846,0,0,0,0,0,0,0
8,22846,1,118356,0,384000,1572864000,0,0
9,22846,0,0,0,0,0,0,0
9,22846,1,157126,0,512000,2097152000,0,0
10,22846,0,0,0,0,0,0,0
10,22846,1,157126,0,512000,2097152000,0,0
11,22846,0,0,0,0,0,0,0
11,22846,1,157126,0,512000,2097152000,0,0
12,22846,0,0,0,0,0,0,0
12,22846,1,194320,0,640000,2621440000,0,0
13,22846,0,0,0,0,0,0,0
13,22846,1,194320,0,640000,2621440000,0,0
14,22846,0,0,0,0,0,0,0
14,22846,1,194320,0,640000,2621440000,0,0
15,22846,0,0,0,0,0,0,0
15,22846,1,232980,0,768000,3145728000,0,0
16,22846,0,0,0,0,0,0,0
16,22846,1,232980,0,768000,3145728000,0,0
17,22846,0,0,0,0,0,0,0
17,22846,1,232980,0,768000,3145728000,0,0
18,22846,0,0,0,0,0,0,0
18,22846,1,273210,0,896000,3670016000,0,0
19,22846,0,0,0,0,0,0,0
19,22846,1,273210,0,896000,3670016000,0,0
20,22846,0,0,0,0,0,0,0
20,22846,1,273210,0,896000,3670016000,0,0
21,22846,0,0,0,0,0,0,0
21,22846,1,313457,0,1024000,4194304000,0,0
22,22846,0,0,0,0,0,0,0
22,22846,1,313457,0,1024000,4194304000,0,0
23,22846,0,0,0,0,0,0,0
23,22846,1,313457,0,1024000,4194304000,0,0
24,22846,0,0,0,0,0,0,0
24,22846,1,354043,0,1152000,4718592000,0,0
25,22846,0,0,0,0,0,0,0
25,22846,1,354043,0,1152000,4718592000,0,0
26,22846,0,0,0,0,0,0,0
26,22846,1,354043,0,1152000,4718592000,0,0
27,22846,0,0,0,0,0,0,0
27,22846,1,368653,0,1204064,4972347392,0,0
28,22846,0,0,0,0,0,0,0
28,22846,1,392615,0,1280000,5242880000,0,0
29,22846,0,0,0,0,0,0,0
29,22846,1,392615,0,1280000,5242880000,0,0
30,22846,0,0,0,0,0,0,0
30,22846,1,392615,0,1280000,5242880000,0,0
31,22846,0,0,0,0,0,0,0
31,22846,1,432488,0,1408000,5767168000,0,0
32,22846,0,0,0,0,0,0,0
32,22846,1,432488,0,1408000,5767168000,0,0
33,22846,0,0,0,0,0,0,0
33,22846,1,432488,0,1408000,5767168000,0,0
34,22846,0,0,0,0,0,0,0
34,22846,1,471191,0,1536000,6291456000,0,0
35,22846,0,0,0,0,0,0,0
35,22846,1,471191,0,1536000,6291456000,0,0
36,22846,0,0,0,0,0,0,0
36,22846,1,471191,0,1536000,6291456000,0,0
37,22846,0,0,0,0,0,0,0
37,22846,1,511800,0,1664000,6815744000,0,0
38,22846,0,0,0,0,0,0,0
38,22846,1,511800,0,1664000,6815744000,0,0
39,22846,0,0,0,0,0,0,0
39,22846,1,511800,0,1664000,6815744000,0,0
40,22846,0,0,0,0,0,0,0
40,22846,1,551428,0,1792000,7340032000,0,0
41,22846,0,0,0,0,0,0,0
41,22846,1,551428,0,1792000,7340032000,0,0
42,22846,0,0,0,0,0,0,0
42,22846,1,551428,0,1792000,7340032000,0,0
43,22846,0,0,0,0,0,0,0
43,22846,1,589734,0,1920000,7864320000,0,0
44,22846,0,0,0,0,0,0,0
44,22846,1,589734,0,1920000,7864320000,0,0
45,22846,0,0,0,0,0,0,0
45,22846,1,589734,0,1920000,7864320000,0,0
46,22846,0,0,0,0,0,0,0
46,22846,1,630887,0,2048000,8388608000,0,0
47,22846,0,0,0,0,0,0,0
47,22846,1,630887,0,2048000,8388608000,0,0
48,22846,0,0,0,0,0,0,0
48,22846,1,630887,0,2048000,8388608000,0,0
49,22846,0,0,0,0,0,0,0
49,22846,1,630887,0,2048000,8388608000,0,0
50,22846,0,0,0,0,0,0,0
50,22846,1,630887,0,2048000,8388608000,0,0
51,22846,0,0,0,0,0,0,0
51,22846,1,630887,0,2048000,8388608000,0,0
52,22846,0,0,0,0,0,0,0
52,22846,1,630887,0,2048000,8388608000,0,0
53,22846,0,0,0,0,0,0,0
53,22846,1,630887,0,2048000,8388608000,0,0
54,22846,0,0,0,0,0,0,0
54,22846,1,630887,0,2048000,8388608000,0,0
55,22846,0,0,0,0,0,0,0
55,22846,1,630887,0,2048000,8388608000,0,0
