Iter,PID,Processor Id,Number of Faults,Evictions,Resident Pages,Physical Memory Allocated,Memory Evicted of other Processes,Thrased Pages
0,22891,0,0,0,0,0,0,0
0,22891,1,38467,0,118128,520093696,0,0
1,22891,0,0,0,0,0,0,0
1,22891,1,40673,0,128000,524288000,0,0
2,22891,0,0,0,0,0,0,0
2,22891,1,40673,0,128000,524288000,0,0
3,22891,0,0,0,0,0,0,0
3,22891,1,40673,0,128000,524288000,0,0
4,22891,0,0,0,0,0,0,0
4,22891,1,78746,0,256000,1048576000,0,0
5,22891,0,0,0,0,0,0,0
5,22891,1,78746,0,256000,1048576000,0,0
6,22891,0,0,0,0,0,0,0
6,22891,1,78746,0,256000,1048576000,0,0
7,22891,0,0,0,0,0,0,0
7,22891,1,118692,0,384000,1572864000,0,0
8,22891,0,0,0,0,0,0,0
8,22891,1,118692,0,384000,1572864000,0,0
9,22891,0,0,0,0,0,0,0
9,22891,1,118692,0,384000,1572864000,0,0
10,22891,0,0,0,0,0,0,0
10,22891,1,158435,0,512000,2097152000,0,0
11,22891,0,0,0,0,0,0,0
11,22891,1,158435,0,512000,2097152000,0,0
12,22891,0,0,0,0,0,0,0
12,22891,1,158435,0,512000,2097152000,0,0
13,22891,0,0,0,0,0,0,0
13,22891,1,195465,0,640000,2621440000,0,0
14,22891,0,0,0,0,0,0,0
14,22891,1,195465,0,640000,2621440000,0,0
15,22891,0,0,0,0,0,0,0
15,22891,1,195465,0,640000,2621440000,0,0
16,22891,0,0,0,0,0,0,0
16,22891,1,233536,0,768000,3145728000,0,0
17,22891,0,0,0,0,0,0,0
17,22891,1,233536,0,768000,3145728000,0,0
18,22891,0,0,0,0,0,0,0
18,22891,1,233536,0,768000,3145728000,0,0
19,22891,0,0,0,0,0,0,0
19,22891,1,272229,0,896000,3670016000,0,0
20,22891,0,0,0,0,0,0,0
20,22891,1,272229,0,896000,3670016000,0,0
21,22891,0,0,0,0,0,0,0
21,22891,1,272229,0,896000,3670016000,0,0
22,22891,0,0,0,0,0,0,0
22,22891,1,312711,0,1024000,4194304000,0,0
23,22891,0,0,0,0,0,0,0
23,22891,1,312711,0,1024000,4194304000,0,0
24,22891,0,0,0,0,0,0,0
24,22891,1,312711,0,1024000,4194304000,0,0
25,22891,0,0,0,103424,423624704,0,0
25,22891,1,348286,103424,1048576,4294967296,0,0
26,22891,0,0,0,103424,423624704,0,0
26,22891,1,348286,103424,1048576,4294967296,0,0
27,22891,0,0,0,103424,423624704,0,0
27,22891,1,348286,103424,1048576,4294967296,0,0
28,22891,0,0,0,116096,1317011456,0,0
28,22891,1,405284,321024,1035904,4294967296,0,0
29,22891,0,0,0,118416,3938451456,0,0
29,22891,1,587355,961536,1033584,4294967296,0,0
30,22891,0,0,0,231424,4718592000,0,0
30,22891,1,709856,1383424,1048576,4294967296,0,0
31,22891,0,0,0,231424,4718592000,0,0
31,22891,1,709856,1383424,1048576,4294967296,0,0
32,22891,0,0,0,231424,4718592000,0,0
32,22891,1,709856,1383424,1048576,4294967296,0,0
33,22891,0,0,0,242048,4718592000,0,0
33,22891,1,783463,1658880,1037952,4294967296,0,0
34,22891,0,0,0,245200,4922015744,0,0
34,22891,1,971639,2353664,1034800,4294967296,0,0
35,22891,0,0,0,359424,5242880000,0,0
35,22891,1,1098239,2791424,1048576,4294967296,0,0
36,22891,0,0,0,359424,5242880000,0,0
36,22891,1,1098239,2791424,1048576,4294967296,0,0
37,22891,0,0,0,359424,5242880000,0,0
37,22891,1,1098239,2791424,1048576,4294967296,0,0
38,22891,0,0,0,371664,5242880000,0,0
38,22891,1,1171532,3065856,1036336,4294967296,0,0
39,22891,0,0,0,371392,5425332224,0,0
39,22891,1,1358679,3756544,1036608,4294967296,0,0
